tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1365884,Call My Agent! The Movie,Dix Pour Cent ! Le Film,32.2761,5.3,10,2026-08-29,"[35, 18]","Five years after ASK Agency closed, debut director Andréa loses her lead actor just days before filming and reunited with her old team — for better or worse.",/p4SvSFIkjCs4y0C7yAcYP9XNmP2.jpg,movie,2026-09-11T10:44:08.878444,01PX2jZNW5A,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=01PX2jZNW5A
1440098,Drawn Together,Enfrentados: Marfil,177.7803,6.7,33,2026-09-09,"[10749, 53]","Marfil Cortés, a daughter of a wealthy Spanish businessman, is kidnapped and released, leading her father to hire Sebastian Moore as a bodyguard. Despite initial clashes, they form an irremediable attraction, navigating a world where no one is who they say they are.",/6rpvddXbaQPOi0fB2HKWbZ3uUSg.jpg,movie,2026-09-11T10:44:08.878457,WlGzP8FvsfY,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=WlGzP8FvsfY
1108427,Moana,Moana,288.9386,6.9,474,2026-07-08,"[10751, 14, 35, 12]","Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",/gaet1xQ2nxrG0V1Ep9T20ZMNEIC.jpg,movie,2026-09-11T10:44:08.878463,n7f6hlKsxxo,Official Trailer,Trailer,https://www.youtube.com/watch?v=n7f6hlKsxxo
1302904,Practical Magic 2,Practical Magic 2,62.4901,6.4,20,2026-09-09,"[10749, 14, 35]",The Owens sisters must confront the dark curse that threatens to unravel their family once and for all.,/ogwQOLbCfncjvBhFb5l0OmQH8KC.jpg,movie,2026-09-11T10:44:08.878468,Ho10_4IX1jE,Official Trailer,Trailer,https://www.youtube.com/watch?v=Ho10_4IX1jE
1522689,Why Did I Get Married Again?,Why Did I Get Married Again?,49.0357,6.6,13,2026-09-08,"[35, 10749, 18]","The couples reunite for the destination wedding of Marcus and Angela's daughter, bringing drama old and new as they ask, ""Why did we get married again?""",/rwaxLuOkJ5mMvJU5juNaPcKADOW.jpg,movie,2026-09-11T10:44:08.878473,VylsOZBYxQA,Official Trailer,Trailer,https://www.youtube.com/watch?v=VylsOZBYxQA
1137844,Mayday,Mayday,230.7882,7.841,393,2026-09-03,"[28, 35]","When a U.S. Navy pilot on a top-secret mission during the Cold War gets trapped behind enemy lines, his only chance at survival is to form an alliance with an eccentric ex-KGB agent.",/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,movie,2026-09-11T10:44:08.878478,om5Un9X720M,Official Trailer,Trailer,https://www.youtube.com/watch?v=om5Un9X720M
1185806,PAW Patrol: The Dino Movie,PAW Patrol: The Dino Movie,54.333,7.0,50,2026-07-23,"[16, 12, 10751, 14, 35]","The Paw Patrol lands on a mysterious dinosaur island after a storm, where they meet Rex, a stranded pup. When Humdinger's reckless mining triggers a volcano, the team faces their biggest rescue mission yet to save the island.",/qnin56Syy5rbG7KCaxWY7SPuy6p.jpg,movie,2026-09-11T10:44:08.878483,xgI5iYmOf5Q,Official Trailer,Trailer,https://www.youtube.com/watch?v=xgI5iYmOf5Q
1433367,One Night Only,One Night Only,78.2581,6.8,91,2026-08-06,"[10749, 35]",Two love-starved strangers crash into each other on the one night of the year when single people are allowed to have sex.,/46q8z1TbbVcF8uhRHsvt5s0h2SH.jpg,movie,2026-09-11T10:44:08.878494,AvKoSR3O4NQ,Official Trailer,Trailer,https://www.youtube.com/watch?v=AvKoSR3O4NQ
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,767.4727,7.856,2570,2026-07-29,"[878, 28, 12]",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,movie,2026-09-11T10:44:08.878500,8TZMtslA3UY,Official Trailer,Trailer,https://www.youtube.com/watch?v=8TZMtslA3UY
1368337,The Odyssey,The Odyssey,395.2788,7.999,3589,2026-07-15,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,movie,2026-09-11T10:44:08.878504,AyIZ9tiiN8I,Official Countdown Trailer,Trailer,https://www.youtube.com/watch?v=AyIZ9tiiN8I
